epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.275,1.67266,6.37518,1.60786,0.75482,0.75,0.67586,0.2596,1.64339,8.83191,1.47171,0.00018,0.00018,0.00018
2,69.4999,1.53177,2.98273,1.41637,0.65304,0.75297,0.73848,0.24588,1.84439,5.14891,1.66228,0.00036746,0.00036746,0.00036746
3,100.803,1.54821,1.86691,1.45197,0.27346,0.4,0.17374,0.05904,2.02173,6.85312,1.89555,0.00054172,0.00054172,0.00054172
4,134.605,1.69181,1.69933,1.54184,0.00555,0.7,0.00535,0.00153,2.38969,408.368,6.32466,0.00070278,0.00070278,0.00070278
5,169.421,1.63028,1.47452,1.52752,0.00081,0.05,0.00022,4e-05,3.32265,3175.31,129.239,0.00085064,0.00085064,0.00085064
6,207.358,1.72341,1.46173,1.57729,0.19764,0.1,0.03767,0.01904,2.63851,4.17809,7.58886,0.0009853,0.0009853,0.0009853
7,248.528,1.70726,1.3985,1.55387,0.85488,0.29526,0.42786,0.16841,2.09015,2.30854,2.02702,0.00110676,0.00110676,0.00110676
8,291.374,1.64085,1.28509,1.55314,0.00626,0.7,0.00611,0.00219,2.1689,1110.82,5.53142,0.00121502,0.00121502,0.00121502
9,339.139,1.629,1.22018,1.59886,0.15323,0.6,0.14416,0.05835,1.73766,6.51168,1.81919,0.00131008,0.00131008,0.00131008
10,380.632,1.5669,1.1635,1.56617,0.69969,0.58314,0.55928,0.24376,2.04435,2.70387,1.9745,0.00139194,0.00139194,0.00139194
11,429.046,1.59971,1.15409,1.53701,0.00577,0.15,0.00376,0.00093,3.0968,8.87095,3.24969,0.00134,0.00134,0.00134
12,473.105,1.59568,1.18952,1.51491,0.82362,0.35,0.35913,0.14961,2.22933,3.24049,1.96964,0.001274,0.001274,0.001274
13,518.655,1.59986,1.19069,1.52303,0.4466,0.45,0.32877,0.16245,1.95178,2.85387,1.81174,0.001208,0.001208,0.001208
14,561.027,1.52209,1.07466,1.45174,0.52476,0.55221,0.53733,0.20427,1.77922,2.43384,1.72137,0.001142,0.001142,0.001142
15,603.775,1.5323,1.09334,1.46953,0.54182,0.59161,0.691,0.26019,1.8841,7.64321,1.77115,0.001076,0.001076,0.001076
16,647.892,1.59852,1.11904,1.55387,0.81746,0.67246,0.7729,0.32682,1.88706,2.66356,1.77828,0.00101,0.00101,0.00101
17,694.961,1.48298,1.05847,1.45752,0.6305,0.55,0.60915,0.26776,1.85547,2.41553,1.8171,0.000944,0.000944,0.000944
18,740.72,1.5238,0.96578,1.49098,0.66208,0.78419,0.75132,0.33945,1.85886,2.05083,1.77638,0.000878,0.000878,0.000878
19,790.722,1.47324,0.9684,1.41744,0.87043,0.9,0.87893,0.29028,1.98537,2.1705,1.87322,0.000812,0.000812,0.000812
20,843.85,1.39935,0.9171,1.37249,0.85994,0.92152,0.96374,0.43038,1.76925,1.23379,1.71287,0.000746,0.000746,0.000746
21,892.833,1.50264,0.892,1.46777,0.25025,0.85,0.2583,0.09709,1.95542,2.98437,1.78164,0.00068,0.00068,0.00068
22,945.333,1.39895,0.81243,1.41651,0.96694,0.9,0.98591,0.41021,1.77282,0.9629,1.73546,0.000614,0.000614,0.000614
23,993.291,1.44089,0.80468,1.47346,0.9131,1,0.98786,0.40734,1.83352,0.85247,1.74391,0.000548,0.000548,0.000548
24,1038.85,1.34543,0.74302,1.40231,0.94992,0.94847,0.99024,0.38332,1.82146,0.87067,1.73708,0.000482,0.000482,0.000482
25,1084.24,1.35235,0.78722,1.42071,0.88883,0.9,0.93331,0.37899,1.89651,0.93743,1.77919,0.000416,0.000416,0.000416
26,1128.66,1.29327,0.71031,1.36687,1,0.9824,0.995,0.37637,1.91909,0.82294,1.86613,0.00035,0.00035,0.00035
27,1189.91,1.30962,0.68742,1.38021,0.93882,0.95,0.92969,0.42699,1.85375,0.83795,1.71495,0.000284,0.000284,0.000284
28,1262.46,1.2613,0.64785,1.34279,0.9446,1,0.99262,0.43357,1.84506,0.76153,1.73118,0.000218,0.000218,0.000218
29,1315.64,1.2295,0.63557,1.28936,1,0.99757,0.995,0.42626,1.84914,0.7687,1.72564,0.000152,0.000152,0.000152
30,1362.41,1.13904,0.61019,1.2428,0.94963,0.94299,0.95083,0.40883,1.88185,0.75503,1.74939,8.6e-05,8.6e-05,8.6e-05
