epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0466,1.63185,3.80786,1.60284,0.00283,0.85,0.17087,0.09694,1.40061,4.00508,1.46026,0.00018,0.00018,0.00018
2,45.2925,1.46107,2.47829,1.36455,0.003,0.9,0.46597,0.1471,1.47069,3.81603,1.37681,0.00036746,0.00036746,0.00036746
3,59.8571,1.5087,2.03253,1.36496,0.00283,0.85,0.2632,0.12747,1.41515,3.83985,1.38628,0.00054172,0.00054172,0.00054172
4,74.3626,1.54441,1.99268,1.37025,0.00267,0.8,0.00589,0.00194,1.63592,4.12701,1.65491,0.00070278,0.00070278,0.00070278
5,89.0995,1.55456,1.99882,1.46065,0.0025,0.75,0.00395,0.00155,1.63668,4.19219,1.75376,0.00085064,0.00085064,0.00085064
6,103.692,1.56655,1.80077,1.4502,0.89691,0.1,0.23419,0.1131,1.55962,3.42848,1.39143,0.0009853,0.0009853,0.0009853
7,118.181,1.5445,1.68272,1.44309,0.67214,0.05,0.07103,0.01381,1.76506,3.68532,1.68333,0.00110676,0.00110676,0.00110676
8,133.088,1.51642,1.6484,1.43038,0.02464,0.3,0.01307,0.00444,2.03252,4.10362,1.76773,0.00121502,0.00121502,0.00121502
9,148.382,1.4851,1.60012,1.39287,0.51328,0.25,0.22563,0.07398,1.87217,3.365,1.77139,0.00131008,0.00131008,0.00131008
10,163.933,1.47948,1.46252,1.40452,0.40135,0.3,0.46161,0.18158,1.91592,2.7176,1.68482,0.00139194,0.00139194,0.00139194
11,180.839,1.48591,1.45947,1.37327,0.85504,0.59044,0.66498,0.24452,1.80931,2.25046,1.60693,0.00134,0.00134,0.00134
12,198.847,1.44555,1.36377,1.38649,0.66308,0.78763,0.79662,0.36701,1.8286,1.75295,1.71123,0.001274,0.001274,0.001274
13,217.595,1.48336,1.39305,1.40705,0.57952,0.75,0.72684,0.33086,1.81115,1.88465,1.59618,0.001208,0.001208,0.001208
14,237.173,1.40337,1.26588,1.35094,0.67628,0.65,0.59742,0.23645,1.84868,1.78007,1.73791,0.001142,0.001142,0.001142
15,256.446,1.39582,1.25114,1.35362,0.68599,0.65565,0.62491,0.2299,1.94053,1.9898,1.67414,0.001076,0.001076,0.001076
16,275.38,1.40772,1.15709,1.40261,0.93083,0.85,0.86153,0.37984,1.68978,1.7107,1.573,0.00101,0.00101,0.00101
17,294.528,1.37345,1.12025,1.35397,0.79696,0.9,0.89186,0.3855,1.85825,1.23352,1.56987,0.000944,0.000944,0.000944
18,313.011,1.39944,1.07348,1.36827,0.87506,0.75,0.84975,0.32745,1.81613,1.28489,1.66845,0.000878,0.000878,0.000878
19,331.409,1.31124,0.99818,1.28016,0.81294,0.8,0.85206,0.34953,1.87095,1.336,1.74009,0.000812,0.000812,0.000812
20,350.796,1.24227,0.93142,1.23898,0.94432,0.9,0.90636,0.37251,1.88897,1.15724,1.80284,0.000746,0.000746,0.000746
21,371.767,1.35067,1.0239,1.35915,0.94886,0.92838,0.92512,0.38746,1.83889,1.10711,1.67406,0.00068,0.00068,0.00068
22,391.971,1.25666,0.96263,1.27464,0.94813,0.95,0.95117,0.48247,1.72728,1.12722,1.65679,0.000614,0.000614,0.000614
23,412.004,1.19316,0.9492,1.27161,0.99225,1,0.995,0.46264,1.66842,0.99723,1.55619,0.000548,0.000548,0.000548
24,432.751,1.1516,0.86393,1.20993,0.94961,0.94252,0.91299,0.43655,1.75551,0.97992,1.76247,0.000482,0.000482,0.000482
25,453.716,1.21291,0.88067,1.27513,0.96978,0.95,0.9587,0.37513,1.97848,0.96728,1.79406,0.000416,0.000416,0.000416
26,475.208,1.26058,0.8432,1.29986,0.99448,0.75,0.74579,0.38014,1.7452,0.91912,1.70894,0.00035,0.00035,0.00035
27,499.755,1.18775,0.81677,1.25817,0.99848,1,0.995,0.51123,1.66455,0.81802,1.46895,0.000284,0.000284,0.000284
28,520.736,1.13353,0.7769,1.20638,0.99509,1,0.995,0.51347,1.60956,0.82231,1.47387,0.000218,0.000218,0.000218
29,542.739,1.05329,0.75067,1.15784,0.99544,1,0.995,0.50108,1.63635,0.81367,1.49952,0.000152,0.000152,0.000152
30,562.889,1.03264,0.74585,1.12756,0.99545,1,0.995,0.51182,1.6396,0.79542,1.46586,8.6e-05,8.6e-05,8.6e-05
